theory	paper_title	author	year	kb_file	doi	link
Attention Restoration Theory	The Restorative Benefits of Nature: Toward an Integrative Framework	Stephen Kaplan	1995	ART-Kaplan-1995-core.md	10.1016/0272-4944(95)90001-2	https://doi.org/10.1016/0272-4944(95)90001-2
Attention Restoration Theory	The Restorative Benefits of Nature: Toward an Integrative Framework	Stephen Kaplan	1995	ART-Kaplan-1995-details.md	10.1016/0272-4944(95)90001-2	https://doi.org/10.1016/0272-4944(95)90001-2
Altman Dialectics	Dialectic Conceptions in Social Psychology: An Application to Social Penetration and Privacy Regulation	Irwin Altman, Anne Vinsel, and Barbara B. Brown	1981	Altman_Dialectics_Altman_1981_core.md	10.1016/s0065-2601(08)60371-8	https://doi.org/10.1016/s0065-2601(08)60371-8
Altman Dialectics	Dialectic Conceptions in Social Psychology: An Application to Social Penetration and Privacy Regulation	Irwin Altman, Anne Vinsel, and Barbara B. Brown	1981	Altman_Dialectics_Altman_1981_details.md	10.1016/s0065-2601(08)60371-8	https://doi.org/10.1016/s0065-2601(08)60371-8
Cognitive Motivational Relational Theory of Emotion	Progress on a Cognitive-Motivational-Relational Theory of Emotion	Richard S. Lazarus	1991	Cognitive_Motivational_Relational_Theory_of_Emotion-Lazarus-1991-core.md	10.1037/0003-066x.46.8.819	https://doi.org/10.1037/0003-066x.46.8.819
Southworth & Parthasarathy on New Urbanism	The Suburban Public Realm I & II: Emergence, Growth, Transformation and Implications	Southworth & Parthasarathy	1996-1997	New_Urbanism-Southworth-1997-core.md	10.1080/13574809608724385	https://doi.org/10.1080/13574809608724385
Suburban Public Realm Framework	The Suburban Public Realm I & II: Emergence, Growth, Transformation and Implications	Southworth & Parthasarathy	1996-1997	New_Urbanism-Southworth-1997-details.md	10.1080/13574809608724385	https://doi.org/10.1080/13574809608724385
Stress Reduction Theory	Stress Recovery During Exposure to Natural and Urban Environments	Roger S. Ulrich et al.	1991	SRT-Ulrich-1991-core.md	10.1016/s0272-4944(05)80184-7	https://doi.org/10.1016/s0272-4944(05)80184-7
Stress Reduction Theory	Stress Recovery During Exposure to Natural and Urban Environments	Roger S. Ulrich et al.	1991	SRT-Ulrich-1991-details.md	10.1016/s0272-4944(05)80184-7	https://doi.org/10.1016/s0272-4944(05)80184-7
Social Cognitive Theory	Social Cognitive Theory: An Agentic Perspective	Albert Bandura	2001	Social_Cognitive_Theory-Bandura-2001-core.md	10.1146/annurev.psych.52.1.1	https://doi.org/10.1146/annurev.psych.52.1.1
Social Cognitive Theory	Social Cognitive Theory: An Agentic Perspective	Albert Bandura	2001	Social_Cognitive_Theory-Bandura-2001-details.md	10.1146/annurev.psych.52.1.1	https://doi.org/10.1146/annurev.psych.52.1.1
Capability Approach	The Capability Approach and Disability	Sophie Mitra	2006	The Capability Approach and Disability_Mitra_2006_core.md	10.1177/10442073060160040501	https://doi.org/10.1177/10442073060160040501
The Affect Heuristic and Risk as Feelings	Risk as Analysis and Risk as Feelings: Some Thoughts about Affect, Reason, Risk, and Rationality	Slovic et al.	2004	The_Affect_Heuristic_and_Risk_as_Feelings_Slovic_et_al_2004_core.md	10.1111/j.0272-4332.2004.00433.x	https://doi.org/10.1111/j.0272-4332.2004.00433.x
Psychoevolutionary Theory of Environmental Aesthetics	Aesthetic and Affective Response to Natural Environment	Roger S. Ulrich	1983	aesthetic_and_affective_response-Ulrich-1983-core.md	10.1007/978-1-4613-3539-9_4	https://doi.org/10.1007/978-1-4613-3539-9_4
Psychoevolutionary Theory of Environmental Aesthetics	Aesthetic and Affective Response to Natural Environment	Roger S. Ulrich	1983	aesthetic_and_affective_response-Ulrich-1983-details.md	10.1007/978-1-4613-3539-9_4	https://doi.org/10.1007/978-1-4613-3539-9_4
Ecological Model of Aging	Aging, Health, and the Environment: An Ecological Model	William A. Satariano	2006	aging_health_environment_satariano_2006_core.md		https://www.worldcat.org/title/epidemiology-of-aging-an-ecological-approach/oclc/61756950
Ecological Model of Aging	Aging, Health, and the Environment: An Ecological Model	William A. Satariano	2006	aging_health_environment_satariano_2006_details.md		https://www.worldcat.org/title/epidemiology-of-aging-an-ecological-approach/oclc/61756950
Altman on Hall's Proxemics Framework	Personal Space: An Analysis of E. T. Hall's Proxemics Framework	Irwin Altman & Anne M. Vinsel	1977	altman_hall_proxemics_framework_altman_1977_core.md	10.1007/978-1-4684-0808-9_5	https://doi.org/10.1007/978-1-4684-0808-9_5
Altman on Hall's Proxemics Framework	Personal Space: An Analysis of E. T. Hall's Proxemics Framework	Irwin Altman & Anne M. Vinsel	1977	altman_hall_proxemics_framework_altman_1977_details.md	10.1007/978-1-4684-0808-9_5	https://doi.org/10.1007/978-1-4684-0808-9_5
Biophilia Hypothesis - Typology of Values	The Biological Basis for Human Values of Nature	Stephen R. Kellert	1993	biophilia_hypothesis_typology-kellert-1993-core.md		https://www.jstor.org/stable/jj.40831413.6
Biophilia Hypothesis - Typology of Values	The Biological Basis for Human Values of Nature	Stephen R. Kellert	1993	biophilia_hypothesis_typology-kellert-1993-details.md		https://www.jstor.org/stable/jj.40831413.6
Transactional Model of Stress and Coping	Stress-Related Transactions between Person and Environment	Richard S. Lazarus and Raymond Launier	1978	cognitive_appraisal_stress_transactional_perspective-Lazarus-1978-core.md	10.1007/978-1-4613-3997-7_12	https://doi.org/10.1007/978-1-4613-3997-7_12
Cognitive Hierarchy Model of Human Behavior	A Value–Attitude–Behavior Model Predicting Wildland Preservation Voting Intentions	Vaske & Donnelly	1999	cognitive_hierarchy_model_human_behavior-vaske-1999-core.md	10.1080/089419299279425	https://doi.org/10.1080/089419299279425
Cognitive Hierarchy Model of Human Behavior	A Value–Attitude–Behavior Model Predicting Wildland Preservation Voting Intentions	Vaske & Donnelly	1999	cognitive_hierarchy_model_human_behavior-vaske-1999-details.md	10.1080/089419299279425	https://doi.org/10.1080/089419299279425
Collective Restoration Theory	Restoration in Nature: Beyond the Conventional Narrative	Terry Hartig	2021	collective_restoration_theory-hartig-2021-core.md	10.1007/978-3-030-69020-5_5	https://doi.org/10.1007/978-3-030-69020-5_5
Collective Restoration Theory	Restoration in Nature: Beyond the Conventional Narrative	Terry Hartig	2021	collective_restoration_theory-hartig-2021-details.md	10.1007/978-3-030-69020-5_5	https://doi.org/10.1007/978-3-030-69020-5_5
Directed Attention Shared Resource	Directed Attention as a Common Resource for Executive Functioning and Self-Regulation	Kaplan & Berman	2010	directed_attention_shared_resource_kaplan_2010_core.md	10.1177/1745691609356784	https://doi.org/10.1177/1745691609356784
Directed Attention Shared Resource	Directed Attention as a Common Resource for Executive Functioning and Self-Regulation	Kaplan & Berman	2010	directed_attention_shared_resource_kaplan_2010_details.md	10.1177/1745691609356784	https://doi.org/10.1177/1745691609356784
Ecological Approach to Perception	The Relevance of Gibson’s Ecological Approach to Perception for Environment–Behavior Studies	Harry Heft	1997	ecological_approach_heft_1997_core.md	10.1007/978-1-4757-4425-5_3	https://doi.org/10.1007/978-1-4757-4425-5_3
Ecological Approach to Landscape Perception	Affordances and the perception of landscape: an inquiry into environmental perception and aesthetics	Harry Heft	2010	ecological_approach_landscape-heft-2010-core.md	10.4324/9780203853252-12	https://doi.org/10.4324/9780203853252-12
Ecological Approach to Landscape Perception	Affordances and the perception of landscape: an inquiry into environmental perception and aesthetics	Harry Heft	2010	ecological_approach_landscape-heft-2010-details.md	10.4324/9780203853252-12	https://doi.org/10.4324/9780203853252-12
Ecological Approach to Place	Places: Widening the Scope of an Ecological Approach to Perception–Action With an Emphasis on Child Development	Harry Heft	2018	ecological_approach_to_place-heft-2018-core.md	10.1080/10407413.2018.1410045	https://doi.org/10.1080/10407413.2018.1410045
Ecological Approach to Place	Places: Widening the Scope of an Ecological Approach to Perception–Action With an Emphasis on Child Development	Harry Heft	2018	ecological_approach_to_place-heft-2018-details.md	10.1080/10407413.2018.1410045	https://doi.org/10.1080/10407413.2018.1410045
Environmental Preference Matrix	Aesthetics, Affect, and Cognition: Environmental Preference from an Evolutionary Perspective	Stephen Kaplan	1987	environmental_preference_matrix-kaplan-1987-core.md	10.1177/0013916587191001	https://doi.org/10.1177/0013916587191001
Environmental Preference Matrix	Aesthetics, Affect, and Cognition: Environmental Preference from an Evolutionary Perspective	Stephen Kaplan	1987	environmental_preference_matrix-kaplan-1987-details.md	10.1177/0013916587191001	https://doi.org/10.1177/0013916587191001
Goal-Framing Theory	Goal-framing Theory and Norm-Guided Environmental Behavior	Lindenberg & Steg	2013	goal_framing_theory-lindenberg-2013-core.md	10.4324/9780203141182-6	https://doi.org/10.4324/9780203141182-6
Goal-Framing Theory	Goal-framing Theory and Norm-Guided Environmental Behavior	Lindenberg & Steg	2013	goal_framing_theory-lindenberg-2013-details.md	10.4324/9780203141182-6	https://doi.org/10.4324/9780203141182-6
Human Crowding Personal Control	Human Crowding and Personal Control: An Integration of the Research	Schmidt & Keating	1979	human_crowding_personal_control-schmidt-1979-core.md	10.1037/0033-2909.86.4.680	https://doi.org/10.1037/0033-2909.86.4.680
Human Crowding Personal Control	Human Crowding and Personal Control: An Integration of the Research	Schmidt & Keating	1979	human_crowding_personal_control-schmidt-1979-details.md	10.1037/0033-2909.86.4.680	https://doi.org/10.1037/0033-2909.86.4.680
Lynch's Five Elements	The Image of the City	Kevin Lynch	1960	lynchs_five_elements_lynch_1960_core.md		https://mitpress.mit.edu/9780262620017/
Perceptual Fluency Theory	Is love for green in our genes? A critical analysis of evolutionary assumptions in restorative environments research	Joye & van den Berg	2011	perceptual_fluency_theory_joye-2011-core.md	10.1016/j.ufug.2011.07.004	https://doi.org/10.1016/j.ufug.2011.07.004
Perceptual Fluency Theory	Is love for green in our genes? A critical analysis of evolutionary assumptions in restorative environments research	Joye & van den Berg	2011	perceptual_fluency_theory_joye-2011-details.md	10.1016/j.ufug.2011.07.004	https://doi.org/10.1016/j.ufug.2011.07.004
2011 Review on the Context for Place Attachment	Place attachment: How far have we come in the last 40 years?	Maria Lewicka	2011	place_attachment_review-lewicka-2011-core.md.md	10.1016/j.jenvp.2010.10.001	https://doi.org/10.1016/j.jenvp.2010.10.001
Privacy Regulation Theory	Privacy: A Conceptual Analysis	Irwin Altman	1976	privacy_regulation_theory_altman_1976_core.md	10.1177/001391657600800102	https://doi.org/10.1177/001391657600800102
Privacy Regulation Theory	Privacy: A Conceptual Analysis	Irwin Altman	1976	privacy_regulation_theory_altman_1976_details.md	10.1177/001391657600800102	https://doi.org/10.1177/001391657600800102
Relational Restoration Theory	Restoration in Nature: Beyond the Conventional Narrative	Terry Hartig	2021	relational_restoration_theory-hartig-2021-core.md	10.1007/978-3-030-69020-5_5	https://doi.org/10.1007/978-3-030-69020-5_5
Relational Restoration Theory	Restoration in Nature: Beyond the Conventional Narrative	Terry Hartig	2021	relational_restoration_theory-hartig-2021-details.md	10.1007/978-3-030-69020-5_5	https://doi.org/10.1007/978-3-030-69020-5_5
Scannell & Gifford's Tripartite Framework of Place Attachment	Defining place attachment: A tripartite organizing framework	Scannell & Gifford	2010	scannell_gifford_tripartite_framework-scannell-2010-core.md.md	10.1016/j.jenvp.2009.09.006	https://doi.org/10.1016/j.jenvp.2009.09.006
Scannell & Gifford's Tripartite Framework of Place Attachment	Defining place attachment: A tripartite organizing framework	Scannell & Gifford	2010	scannell_gifford_tripartite_framework-scannell-2010-details.md.md	10.1016/j.jenvp.2009.09.006	https://doi.org/10.1016/j.jenvp.2009.09.006
Social Identity Approach to Environmental Psychology	A Social Identity Analysis of Climate Change and Environmental Attitudes and Behaviors: Insights and Opportunities	Fielding & Hornsey	2016	social_identity_analysis_environmental-fielding-2016-core.md	10.3389/fpsyg.2016.00121	https://doi.org/10.3389/fpsyg.2016.00121
Social Psychological Model of Crowding	A Social-Psychological Model of Human Crowding Phenomena	Daniel Stokols	1972	social_psychological_model_of_crowding_stokols_1972_core.md	10.1080/01944367208977409	https://doi.org/10.1080/01944367208977409
Social Psychological Model of Crowding	A Social-Psychological Model of Human Crowding Phenomena	Daniel Stokols	1972	social_psychological_model_of_crowding_stokols_1972_details.md	10.1080/01944367208977409	https://doi.org/10.1080/01944367208977409
Space Syntax	Space is the Machine: A Configurational Theory of Architecture	Bill Hillier	1996	space_syntax_hillier_1996_core.md		https://www.cambridge.org/9780521560641
Theory of Supportive Design	Effects of interior design on wellness: Theory and recent scientific research	Roger S. Ulrich	1991	theory_of_supportive_design_ulrich_1991_core.md		https://pubmed.ncbi.nlm.nih.gov/10123973/
Theory of Supportive Design	Effects of interior design on wellness: Theory and recent scientific research	Roger S. Ulrich	1991	theory_of_supportive_design_ulrich_1991_details.md		https://pubmed.ncbi.nlm.nih.gov/10123973/
Wicker's Behavior Setting Life Cycle Theory	Behavior settings reconsidered: Temporal stages, resources, internal dynamics, context	Allan W. Wicker	1987	wickers_behavior_setting_life_cycle_theory-wicker-1987-core.md		https://onlinelibrary.wiley.com/doi/book/10.1002/9781119241072
Wicker's Behavior Setting Life Cycle Theory	Behavior settings reconsidered: Temporal stages, resources, internal dynamics, context	Allan W. Wicker	1987	wickers_behavior_setting_life_cycle_theory-wicker-1987-details.md		https://onlinelibrary.wiley.com/doi/book/10.1002/9781119241072
